Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken,distance_km,order_hour,prep_time
32.0,3.5,Stormy,Jam,1,Snack,scooter,0.0,No,Urban,35,17.29786575291325,21.0,10.0
32.0,4.6,Cloudy,Low,2,Drinks,scooter,1.0,No,Metropolitian,30,19.914686965545187,22.0,10.0
33.0,4.9,Sunny,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,22,10.724517748046026,18.0,15.0
20.0,4.7,Windy,High,1,Snack,scooter,0.0,No,Urban,10,6.127835452844326,14.0,10.0
20.0,4.8,Sandstorms,Low,2,Meal,scooter,1.0,No,Metropolitian,19,1.5203573134022046,,
35.0,5.0,Sunny,Low,2,Snack,scooter,1.0,No,Urban,11,3.0734537599377685,9.0,10.0
26.0,4.9,Stormy,Low,2,Buffet,scooter,0.0,No,Metropolitian,11,3.1051314775458967,8.0,15.0
22.0,4.8,Fog,Low,1,Snack,motorcycle,1.0,No,Metropolitian,28,10.86742683448048,,
35.0,4.3,Cloudy,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,33,10.865464603780389,17.0,5.0
30.0,4.7,Cloudy,Medium,1,Drinks,scooter,1.0,No,Metropolitian,33,12.236723616598548,,
37.0,4.7,Sandstorms,Jam,0,Snack,motorcycle,3.0,No,Metropolitian,52,13.682516298592299,19.0,5.0
28.0,4.6,Stormy,Jam,1,Snack,scooter,1.0,No,Metropolitian,22,16.826241648658115,19.0,15.0
37.0,4.9,Fog,Low,1,Snack,scooter,1.0,No,Urban,16,3.0272369309754272,10.0,
23.0,4.9,Sunny,Jam,2,Drinks,electric_scooter,0.0,No,Metropolitian,11,9.175193844437826,21.0,5.0
27.0,4.9,Windy,Medium,1,Drinks,scooter,1.0,No,Metropolitian,25,9.315069177421892,,
37.0,4.8,Cloudy,Medium,0,Drinks,motorcycle,1.0,No,Urban,26,6.209021101535612,16.0,10.0
33.0,5.0,Sunny,High,2,Snack,scooter,1.0,No,Metropolitian,18,1.5203447277401048,11.0,10.0
31.0,4.9,Fog,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,16,6.037225392443855,15.0,5.0
31.0,4.8,Stormy,Low,2,Drinks,scooter,1.0,No,Metropolitian,23,17.078665498349437,22.0,10.0
25.0,5.0,Cloudy,Low,0,Snack,motorcycle,0.0,No,Metropolitian,15,4.717601092054723,22.0,15.0
28.0,4.8,Sandstorms,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,36,12.464329297636581,20.0,10.0
31.0,4.7,Cloudy,Low,2,Snack,motorcycle,0.0,No,Metropolitian,16,9.121425981981247,22.0,15.0
24.0,4.7,Sunny,Medium,0,Buffet,motorcycle,0.0,No,Urban,19,14.02323208308448,17.0,
39.0,4.6,Sunny,Low,1,Snack,motorcycle,1.0,No,Metropolitian,27,13.392612276663236,22.0,
39.0,4.2,Fog,Jam,2,Snack,scooter,1.0,No,Semi-Urban,49,12.580267822400963,20.0,15.0
32.0,4.5,Windy,Low,2,Buffet,scooter,0.0,No,Metropolitian,20,1.4899271643865588,9.0,15.0
36.0,4.7,Cloudy,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,30,9.435201537430714,20.0,5.0
25.0,4.8,Sandstorms,Low,1,Drinks,scooter,0.0,No,Urban,18,11.916582838288104,22.0,10.0
33.0,4.9,Sunny,Jam,2,Drinks,scooter,0.0,No,Metropolitian,22,4.663566689152146,21.0,
30.0,4.4,Cloudy,Low,2,Drinks,scooter,1.0,No,Metropolitian,34,10.641157729337541,22.0,15.0
33.0,5.0,Sandstorms,Low,0,Buffet,motorcycle,0.0,No,Urban,24,16.818368923732613,23.0,5.0
36.0,4.9,Fog,Medium,2,Drinks,scooter,1.0,No,Metropolitian,17,6.128551257919138,15.0,15.0
21.0,4.8,Sandstorms,Low,2,Meal,electric_scooter,0.0,No,Metropolitian,14,2.996250036665907,10.0,10.0
39.0,4.9,Stormy,Jam,2,Meal,motorcycle,1.0,No,Metropolitian,30,7.342175722857793,20.0,
23.0,4.8,Stormy,Low,1,Meal,scooter,1.0,No,Metropolitian,15,3.145067434621583,10.0,10.0
35.0,4.8,Fog,Medium,2,Buffet,scooter,1.0,No,Urban,16,6.29013467763468,15.0,10.0
39.0,4.6,Cloudy,Jam,1,Snack,scooter,1.0,No,Metropolitian,36,13.972123977178622,20.0,5.0
22.0,4.7,Sunny,High,1,Buffet,scooter,1.0,No,Urban,18,6.081440797008078,12.0,5.0
32.0,4.6,Fog,Medium,1,Meal,scooter,0.0,No,Metropolitian,17,6.080891507842322,15.0,15.0
24.0,4.8,Sandstorms,Low,1,Buffet,motorcycle,1.0,No,Urban,15,12.580267822400963,22.0,5.0
29.0,4.7,Fog,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,17,3.145067434621583,10.0,10.0
30.0,4.7,Fog,Low,1,Drinks,scooter,0.0,No,Metropolitian,19,6.210589610314177,,
26.0,4.7,Fog,Low,1,Buffet,motorcycle,0.0,No,Metropolitian,10,9.220373067021216,23.0,
20.0,4.5,Fog,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,27,7.8626681674103684,21.0,15.0
35.0,4.1,Sandstorms,Jam,1,Buffet,motorcycle,2.0,No,Metropolitian,37,13.96960642768458,20.0,15.0
39.0,4.6,Fog,Jam,1,Drinks,scooter,2.0,No,Metropolitian,44,13.973206773137713,20.0,
34.0,4.7,Windy,High,2,Drinks,electric_scooter,1.0,No,Metropolitian,28,6.058853851669116,12.0,10.0
27.0,4.7,Cloudy,Jam,2,Snack,scooter,1.0,No,Metropolitian,42,17.07799287216204,,
30.0,4.8,Windy,Low,1,Snack,motorcycle,1.0,No,Metropolitian,25,17.29786575291325,23.0,15.0
25.0,4.4,Cloudy,Medium,2,Snack,scooter,1.0,No,Metropolitian,39,17.072871906399556,18.0,5.0
25.0,4.7,Stormy,Medium,0,Meal,motorcycle,0.0,No,Urban,20,16.818368923732613,18.0,5.0
30.0,5.0,Stormy,High,1,Buffet,motorcycle,1.0,No,Metropolitian,31,2.979502850576494,11.0,5.0
24.0,4.6,Stormy,Jam,1,Buffet,motorcycle,0.0,No,Metropolitian,13,9.22086597503784,20.0,10.0
39.0,4.8,Stormy,Jam,1,Meal,motorcycle,1.0,No,Metropolitian,28,7.661331134220826,21.0,15.0
25.0,4.8,Windy,High,1,Snack,scooter,1.0,No,Urban,19,6.1755160934059985,12.0,5.0
37.0,4.6,Fog,Low,0,Buffet,motorcycle,2.0,Yes,Urban,42,12.209856560906529,23.0,15.0
24.0,5.0,Fog,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,23,1.5526813140972442,10.0,5.0
25.0,4.2,Stormy,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,39,16.902806732498032,21.0,15.0
32.0,4.6,Stormy,Low,2,Drinks,motorcycle,1.0,No,Metropolitian,25,1.5093577696337532,10.0,10.0
34.0,4.7,Sandstorms,Low,1,Drinks,scooter,0.0,No,Metropolitian,15,6048.631240095335,,
38.0,4.9,Cloudy,Low,2,Drinks,scooter,1.0,No,Urban,15,3.0251186390184004,8.0,15.0
36.0,4.8,Sunny,Medium,2,Buffet,electric_scooter,0.0,No,Metropolitian,15,13.407092693002484,17.0,5.0
25.0,5.0,Stormy,Jam,1,Meal,motorcycle,1.0,No,Metropolitian,15,16.721976048741215,20.0,15.0
29.0,5.0,Sunny,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,18,7.772343594464245,22.0,5.0
36.0,4.7,Sandstorms,Low,2,Drinks,electric_scooter,0.0,No,Metropolitian,29,13.773737657079298,23.0,10.0
33.0,4.7,Fog,Low,0,Snack,motorcycle,0.0,No,Metropolitian,20,7.790158927084966,23.0,5.0
36.0,4.4,Cloudy,High,2,Meal,scooter,1.0,No,Metropolitian,39,6.217834398578936,12.0,15.0
21.0,4.8,Windy,Low,0,Snack,motorcycle,0.0,No,Metropolitian,19,16.852834881460105,23.0,15.0
25.0,4.8,Cloudy,Low,1,Snack,scooter,1.0,No,Urban,19,4.610035602260694,23.0,
23.0,4.8,Windy,Low,0,Meal,motorcycle,0.0,No,Metropolitian,17,19.879870677373706,22.0,
25.0,4.6,Stormy,Low,2,Snack,motorcycle,1.0,No,Urban,15,1.5580833985948437,10.0,15.0
24.0,4.3,Sandstorms,Low,0,Meal,motorcycle,0.0,No,Urban,19,3.025332706173566,8.0,
27.0,4.6,Sandstorms,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,29,13.97194896017493,21.0,15.0
23.0,4.8,Cloudy,Low,2,Snack,scooter,1.0,No,Urban,22,16.830905551931956,22.0,5.0
21.0,4.3,Fog,Jam,1,Drinks,scooter,0.0,No,Metropolitian,42,20.207797933358158,20.0,10.0
27.0,4.7,Sandstorms,Low,2,Snack,scooter,0.0,No,Urban,12,3.040641621538495,10.0,15.0
32.0,4.2,Cloudy,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,38,20.253785359470783,20.0,10.0
25.0,4.6,Sunny,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,23,16.72129600980331,23.0,15.0
39.0,4.7,Cloudy,Low,1,Meal,scooter,0.0,No,Metropolitian,15,2.9845507897866907,10.0,15.0
27.0,4.6,Sunny,Low,0,Snack,motorcycle,1.0,No,Metropolitian,24,12.16145053143676,23.0,5.0
39.0,3.8,Windy,Jam,1,Drinks,motorcycle,0.0,No,Metropolitian,37,16.822155609317257,19.0,
31.0,4.8,Sandstorms,Low,1,Snack,scooter,0.0,No,Metropolitian,24,7.762556904358444,22.0,10.0
31.0,4.8,Sunny,Low,2,Buffet,electric_scooter,0.0,No,Metropolitian,13,9.055855161965923,23.0,5.0
20.0,4.8,Cloudy,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,16,1.5545816630911855,9.0,15.0
36.0,4.9,Cloudy,Medium,0,Drinks,motorcycle,1.0,No,Urban,42,12.074047498027575,18.0,10.0
20.0,4.9,Sandstorms,Low,0,Meal,motorcycle,1.0,No,Metropolitian,17,13.580373876280879,22.0,10.0
24.0,4.6,Cloudy,Jam,0,Drinks,motorcycle,0.0,No,Metropolitian,25,4.469620875558295,20.0,15.0
30.0,4.7,Fog,Low,3,Snack,electric_scooter,0.0,No,Metropolitian,25,16.659838319169715,,
39.0,4.2,Fog,Medium,1,Snack,scooter,0.0,No,Metropolitian,39,16.634870118211836,18.0,5.0
37.0,4.8,Sunny,High,2,Meal,scooter,0.0,No,Metropolitian,18,6.232139486668102,14.0,10.0
32.0,4.9,Sandstorms,Medium,2,Drinks,motorcycle,1.0,No,Metropolitian,28,6.209021101535612,16.0,
22.0,4.5,Sandstorms,Low,1,Drinks,scooter,1.0,No,Metropolitian,18,7.460830127736633,22.0,15.0
23.0,4.9,Windy,Low,1,Meal,scooter,0.0,No,Metropolitian,18,20.253785359470783,,
33.0,4.7,Fog,Jam,1,Snack,scooter,1.0,No,Metropolitian,49,16.600975700594585,21.0,10.0
23.0,4.7,Sunny,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,15,4.540321372891478,23.0,10.0
27.0,4.6,Sunny,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,21,12.421212735966003,23.0,5.0
34.0,4.7,Sunny,High,2,Snack,scooter,0.0,No,Metropolitian,23,6.1187118466897275,14.0,15.0
26.0,5.0,Fog,Low,2,Meal,scooter,1.0,No,Urban,11,1.520431947999248,10.0,10.0
31.0,4.6,Cloudy,Jam,0,Snack,motorcycle,0.0,No,Metropolitian,25,9.087972744661085,21.0,15.0
32.0,4.9,Fog,Low,2,Snack,motorcycle,0.0,No,Metropolitian,18,3.0644871057616707,8.0,5.0
27.0,4.7,Cloudy,Low,1,Buffet,motorcycle,0.0,No,Metropolitian,14,3.025144329113595,,
21.0,4.9,Windy,Medium,0,Drinks,motorcycle,2.0,No,Metropolitian,36,13.973206773137713,17.0,
28.0,4.8,Fog,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,18,7.763102784727143,23.0,5.0
24.0,4.9,Fog,Medium,1,Meal,scooter,1.0,No,Urban,17,6.29013467763468,16.0,15.0
33.0,4.4,Sandstorms,Low,0,Snack,motorcycle,1.0,No,Metropolitian,28,1.5368503798521727,8.0,10.0
20.0,4.6,Fog,Jam,0,Buffet,motorcycle,0.0,Yes,Metropolitian,44,13.97317756157655,20.0,15.0
31.0,4.3,Windy,Low,0,Snack,motorcycle,1.0,No,Metropolitian,20,9.348403522662325,23.0,15.0
30.0,4.7,Stormy,Low,2,Snack,scooter,0.0,No,Metropolitian,19,4.596576884051942,,
36.0,5.0,Fog,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,35,10.602467987619507,19.0,10.0
31.0,4.2,Sandstorms,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,50,17.076258901183188,21.0,10.0
39.0,4.1,Stormy,Jam,1,Meal,scooter,1.0,No,Metropolitian,34,9.22083460710881,21.0,5.0
29.0,4.6,Sunny,Jam,2,Meal,electric_scooter,1.0,No,Metropolitian,17,12.161605446010208,19.0,15.0
29.0,4.6,Sandstorms,High,1,Snack,scooter,0.0,No,Urban,23,6.080882967594328,14.0,
37.0,4.9,Fog,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,27,4.67414369897644,18.0,10.0
33.0,4.7,Cloudy,High,0,Snack,motorcycle,0.0,No,Urban,26,6.29013467763468,12.0,10.0
31.0,3.9,Cloudy,Low,1,Buffet,scooter,1.0,No,Metropolitian,35,10.709003371535417,23.0,10.0
37.0,4.6,Windy,High,0,Drinks,motorcycle,1.0,No,Urban,41,6.29013467763468,12.0,5.0
26.0,4.4,Sandstorms,Low,0,Buffet,motorcycle,0.0,No,Metropolitian,23,9.31488473286169,23.0,10.0
24.0,4.6,Stormy,Medium,0,Snack,motorcycle,0.0,No,Metropolitian,30,17.137482577838597,17.0,
23.0,4.8,Windy,Low,1,Buffet,scooter,1.0,No,Metropolitian,19,3.145067434621583,10.0,10.0
36.0,4.9,Windy,Low,1,Buffet,scooter,1.0,No,Metropolitian,27,1.572533729286321,9.0,15.0
39.0,4.8,Cloudy,High,0,Snack,motorcycle,1.0,No,Metropolitian,28,6.21800234869445,12.0,15.0
20.0,4.7,Sandstorms,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,24,12.463883024166657,17.0,10.0
20.0,5.0,Cloudy,Jam,0,Meal,motorcycle,1.0,No,Urban,36,20.20658151050797,19.0,15.0
29.0,4.3,Sandstorms,Low,0,Buffet,motorcycle,0.0,No,Metropolitian,28,9.081116432461174,23.0,5.0
36.0,4.8,Fog,Medium,2,Drinks,motorcycle,1.0,No,Urban,31,17.138077427627866,18.0,5.0
36.0,4.0,Sunny,Jam,0,Meal,motorcycle,3.0,No,Metropolitian,44,13.631343698142908,20.0,5.0
22.0,4.8,Windy,Low,1,Drinks,scooter,1.0,No,Metropolitian,15,12.074063090452917,22.0,15.0
38.0,4.4,Windy,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,33,10.723264172167632,17.0,5.0
39.0,4.9,Fog,Jam,0,Buffet,motorcycle,0.0,No,Metropolitian,30,7.600994631258685,19.0,15.0
24.0,4.9,Stormy,Medium,1,Snack,scooter,1.0,No,Metropolitian,22,7.562982485200135,18.0,10.0
30.0,4.1,Fog,Low,0,Snack,motorcycle,0.0,No,Metropolitian,43,11.007734763744617,23.0,
35.0,4.8,Fog,Medium,0,Meal,motorcycle,3.0,No,Metropolitian,48,13.829314445199353,17.0,10.0
33.0,4.5,Stormy,Low,2,Drinks,electric_scooter,1.0,No,Metropolitian,19,13.969116967730173,23.0,
39.0,4.7,Windy,Medium,1,Snack,motorcycle,1.0,No,Urban,21,10.92326745824626,18.0,5.0
31.0,4.3,Windy,Jam,1,Drinks,motorcycle,0.0,No,Metropolitian,44,12.117036432265502,21.0,10.0
37.0,4.5,Windy,Low,2,Drinks,scooter,0.0,No,Metropolitian,26,1.5525704156536744,8.0,15.0
37.0,4.7,Windy,Low,1,Buffet,scooter,1.0,No,Metropolitian,26,4.663566689152146,22.0,5.0
33.0,5.0,Windy,High,1,Meal,motorcycle,1.0,No,Metropolitian,31,1.5294972211332267,11.0,5.0
24.0,4.6,Stormy,Low,2,Meal,scooter,1.0,No,Urban,19,9.435201537430714,23.0,15.0
33.0,4.5,Sunny,Jam,1,Snack,scooter,0.0,No,Metropolitian,18,11.916757259074618,19.0,5.0
39.0,4.7,Fog,Medium,2,Meal,motorcycle,1.0,No,Metropolitian,38,10.486117701549256,18.0,
37.0,4.6,Cloudy,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,32,13.583078662317007,18.0,10.0
25.0,4.9,Sandstorms,Low,2,Meal,scooter,1.0,No,Metropolitian,17,7.6831914051315,22.0,5.0
28.0,4.8,Fog,Medium,1,Buffet,scooter,1.0,No,Urban,11,9.193093962702912,,
38.0,4.7,Windy,High,2,Buffet,motorcycle,1.0,No,Metropolitian,31,6.2178836475581045,13.0,10.0
30.0,4.7,Sandstorms,Medium,0,Drinks,motorcycle,0.0,No,Metropolitian,43,10.427235657896496,,
31.0,4.6,Windy,Medium,0,Meal,motorcycle,0.0,No,Metropolitian,25,9.326872529115304,17.0,10.0
25.0,4.8,Cloudy,Jam,2,Snack,motorcycle,1.0,No,Metropolitian,22,9.179538450826048,19.0,15.0
35.0,4.9,Fog,Jam,0,Drinks,motorcycle,3.0,No,Metropolitian,43,10.880651848535559,21.0,5.0
39.0,4.7,Fog,Jam,0,Buffet,motorcycle,1.0,Yes,Metropolitian,42,10.565262855251525,19.0,10.0
38.0,3.9,Stormy,Jam,1,Meal,motorcycle,0.0,No,Metropolitian,42,12.100062421152574,19.0,10.0
35.0,4.7,Fog,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,34,4.657159718107683,21.0,10.0
29.0,4.7,Sandstorms,Low,1,Snack,motorcycle,1.0,No,Metropolitian,17,2.9812178551917965,9.0,15.0
27.0,4.6,Stormy,Jam,1,Snack,scooter,0.0,No,Metropolitian,25,4.56126563284071,20.0,5.0
38.0,4.3,Sandstorms,Jam,0,Meal,motorcycle,1.0,Yes,Semi-Urban,54,13.989916877275611,21.0,10.0
36.0,4.9,Windy,Low,2,Buffet,motorcycle,0.0,No,Metropolitian,21,10.64228895373868,,
26.0,4.0,Cloudy,High,1,Buffet,motorcycle,1.0,No,Metropolitian,34,6.147404652636645,,
26.0,4.1,Fog,Jam,2,Meal,motorcycle,1.0,No,Metropolitian,36,13.428477357470895,19.0,5.0
36.0,4.9,Sunny,Medium,1,Drinks,motorcycle,0.0,No,Metropolitian,17,9.32728515796102,17.0,10.0
21.0,4.7,Sunny,Low,0,Meal,motorcycle,1.0,No,Metropolitian,16,1.489792976782627,,
35.0,4.7,Sunny,Jam,2,Meal,electric_scooter,1.0,No,Metropolitian,27,12.418394742110447,,
20.0,4.5,Fog,High,2,Meal,motorcycle,1.0,No,Metropolitian,26,6.217860689144307,12.0,5.0
23.0,4.6,Fog,Jam,0,Snack,motorcycle,2.0,Yes,Metropolitian,46,13.787803344501583,21.0,15.0
37.0,5.0,Sunny,Jam,0,Buffet,motorcycle,0.0,No,Metropolitian,29,9.080187058763224,19.0,10.0
26.0,4.8,Sandstorms,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,23,9.31544163550089,19.0,5.0
29.0,5.0,Sandstorms,Low,1,Snack,scooter,1.0,No,Urban,11,12.161417162421785,22.0,15.0
26.0,4.9,Stormy,Medium,1,Snack,motorcycle,0.0,No,Metropolitian,28,16.636875038860897,17.0,15.0
29.0,4.8,Cloudy,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,25,9.19295116708344,19.0,5.0
29.0,4.7,Sandstorms,Low,2,Snack,motorcycle,0.0,No,Metropolitian,11,3.0182264849996012,10.0,15.0
21.0,4.9,Windy,Medium,1,Meal,scooter,1.0,No,Metropolitian,26,4.395420246829376,18.0,10.0
22.0,4.3,Stormy,Low,0,Meal,motorcycle,1.0,No,Metropolitian,23,3.109059104393369,10.0,15.0
31.0,4.0,Fog,Medium,1,Snack,motorcycle,2.0,No,Metropolitian,39,11.916582838288104,17.0,15.0
20.0,4.5,Fog,Low,1,Snack,motorcycle,0.0,No,Metropolitian,11,3.116248509790061,8.0,
30.0,3.9,Stormy,Jam,2,Drinks,electric_scooter,1.0,No,Metropolitian,32,12.116950608888414,19.0,15.0
36.0,4.8,Fog,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,43,10.868263117988388,17.0,15.0
24.0,4.7,Fog,Medium,1,Buffet,scooter,1.0,No,Metropolitian,13,6.218153086065015,15.0,10.0
32.0,4.7,Windy,Low,2,Buffet,electric_scooter,0.0,No,Metropolitian,25,1.554424975889475,9.0,10.0
25.0,5.0,Windy,Medium,1,Drinks,motorcycle,0.0,No,Metropolitian,27,9.313017158714828,18.0,5.0
27.0,4.5,Windy,Medium,2,Drinks,scooter,1.0,No,Metropolitian,29,6.147106622705506,15.0,15.0
32.0,4.1,Sandstorms,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,33,10.867300462045835,18.0,15.0
23.0,4.7,Fog,Medium,1,Drinks,motorcycle,1.0,No,Urban,19,6.209259882041872,16.0,
39.0,4.4,Sunny,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,33,20.18085916835158,18.0,5.0
20.0,4.8,Fog,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,28,9.435201537430714,19.0,5.0
20.0,4.8,Windy,Medium,2,Drinks,electric_scooter,0.0,No,Metropolitian,15,11.919755989352295,18.0,10.0
29.0,4.6,Stormy,Jam,1,Meal,scooter,1.0,No,Metropolitian,29,4.494291162003504,20.0,15.0
26.0,4.9,Stormy,Low,2,Meal,scooter,1.0,No,Metropolitian,18,20.85172635753384,22.0,
25.0,5.0,Stormy,Low,1,Meal,motorcycle,1.0,No,Metropolitian,14,1.5605734793807475,10.0,
34.0,4.7,Windy,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,30,6.210589610314177,,
31.0,4.9,Sunny,High,0,Snack,motorcycle,0.0,No,Metropolitian,28,6.17528357530834,14.0,15.0
24.0,4.7,Fog,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,39,20.44292976252901,20.0,5.0
30.0,4.9,Cloudy,Medium,2,Meal,motorcycle,0.0,No,Metropolitian,30,13.830084721845328,,
36.0,4.8,Sandstorms,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,36,19.37374583495492,18.0,5.0
36.0,4.4,Fog,Low,0,Snack,motorcycle,1.0,No,Metropolitian,37,20.857115324129595,23.0,15.0
26.0,4.7,Cloudy,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,43,20.851557402660557,19.0,5.0
30.0,4.6,Sunny,Low,2,Buffet,scooter,1.0,No,Metropolitian,29,16.659963190057415,23.0,10.0
20.0,4.8,Stormy,Medium,2,Drinks,scooter,1.0,No,Metropolitian,25,4.717601092054723,,
33.0,4.7,Fog,Medium,2,Buffet,electric_scooter,1.0,No,Urban,15,7.76260023979039,18.0,15.0
30.0,4.7,Sandstorms,Jam,1,Snack,scooter,0.0,No,Metropolitian,24,11.007734763744617,,
34.0,4.0,Windy,Jam,0,Snack,motorcycle,2.0,No,Metropolitian,39,13.76685500858734,21.0,5.0
36.0,4.6,Windy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,20,12.293677673573285,23.0,10.0
33.0,4.6,Fog,Low,1,Buffet,motorcycle,1.0,No,Metropolitian,15,2.9846372692856606,,
22.0,4.8,Sandstorms,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,16,16.78827586251448,22.0,
38.0,4.7,Sunny,Low,2,Drinks,scooter,1.0,No,Metropolitian,19,1.5320227740641719,,
27.0,4.9,Fog,Low,2,Drinks,scooter,0.0,No,Metropolitian,20,12.421407858787804,23.0,15.0
32.0,4.8,Sunny,Jam,2,Meal,scooter,1.0,No,Metropolitian,25,10.444776155165918,,
26.0,4.8,Cloudy,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,43,12.42075005031367,19.0,10.0
29.0,4.5,Windy,Low,0,Drinks,motorcycle,0.0,No,Urban,15,19.659373527443684,22.0,10.0
31.0,4.5,Sunny,Jam,0,Buffet,motorcycle,0.0,No,Urban,29,12.46418980459368,20.0,15.0
28.0,4.6,Stormy,High,2,Drinks,motorcycle,0.0,No,Metropolitian,14,6.1462436583934315,12.0,15.0
21.0,4.8,Sunny,Medium,1,Buffet,motorcycle,1.0,No,Metropolitian,11,8.92908688893574,18.0,
21.0,4.0,Sandstorms,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,19,7.79036212453358,22.0,5.0
30.0,4.9,Windy,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,29,12.580267822400963,23.0,10.0
